"","X","InstitutionCode","CollectionCode","CatalogNumber","IndividualCount","ScientificName","Family","PreparationType","Tissues","Latitude","Longitude","CoordinateUncertaintyInMeters","HorizontalDatum","Country","StateProvince","County","Island","IslandGroup","Locality","VerbatimElevation","VerbatimDepth","YearCollected","MonthCollected","DayCollected","Collector","GeorefMethod","LatLongComments","BasisOfRecord","Remarks","DateLastModified","CI","decade","combo","number_individuals_requested"
"201",32,"MSB","Fish specimens","MSB:Fish:43242",28,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"1.5 meters",1999,7,14,"Collector(s): Steven P. Platania, Robert K. Dudley, Joshua R. Walters","not recorded",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Robert K. Dudley, Joshua R. Walters","2019-05-27 05:20:26.0","control","1991-2000","control_1991-2000",5
"116",4,"MSB","Fish specimens","MSB:Fish:12010",51,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.211416,-106.612833,210,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at confluence with the North Diversion Canal, ca. 3.3 kilometers upstream of Alameda Boulevard or NM State HWY 528 bridge, Albuquerque.",NA,"",1992,9,28,"Collector(s): Brian K. Lang","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-27 02:27:24.0","control","1991-2000","control_1991-2000",5
"220",117,"MSB","Fish specimens","MSB:Fish:73719",27,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Bernalillo Bridge Hwy 550 crossing, Rio Grande",NA,"",2002,9,16,"Collector(s): Thomas F. Turner","GeoLocate",NA,"PreservedSpecimen","UNM BIOL 487 Ichthyology 2002 Field Trips; Very few pools or backwater habitats available.","2019-05-27 06:00:31.0","control","2001-2010","control_2001-2010",5
"17",28,"MSB","Fish specimens","MSB:Fish:1085",91,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.192334,-106.619678,2064,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Conservancy ditch, just north of Alameda.",NA,"",1939,5,13,"Collector(s): William J. Koster, R. Troxel","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, R. Troxel","2019-05-26 21:13:02.0","impact","1931-1940","impact_1931-1940",5
"10",202,"MSB","Fish specimens","MSB:Fish:1080",10,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.100259,-106.692107,650,"North American Datum 1983","United States","New Mexico","Bernalillo County",NA,NA,"Palmer's Slough, east of Rio Grande Albuquerque NW Section, an area of remanant bosque and wetlands.",NA,"",1939,2,26,"Collector(s): William J. Koster, R. Troxel","GeoLocate",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 212-A; Storage: 70% EtOH, 212-A;","2019-05-26 21:37:26.0","impact","1931-1940","impact_1931-1940",5
"14",102,"MSB","Fish specimens","MSB:Fish:1086",250,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.173111,-106.626066,1000,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Conservancy ditch, Second Street NW, 6.5 miles north of Albuquerque.",NA,"",1939,4,22,"Collector(s): William J. Koster, R. Troxel","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, R. Troxel","2019-05-26 22:06:53.0","impact","1931-1940","impact_1931-1940",5
"3",76,"MSB","Fish specimens","MSB:Fish:1077",362,"Gambusia affinis","Poeciliidae","whole organism; whole organism (formalin-fixed, 70% ethanol)",NA,35.164679,-106.652537,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Ditch along Rio Grande Boulevard, between Alameda and Albuquerque.",NA,"",1938,10,20,"Collector(s): William J. Koster","not recorded",NA,"PreservedSpecimen","Storage: 70% EtOH; 5 REMOVED FOR C&S; IN POOR CONDITION.","2019-05-26 21:12:58.0","impact","1931-1940","impact_1931-1940",5
"5",98,"MSB","Fish specimens","MSB:Fish:1090",114,"Gambusia affinis","Poeciliidae","unknown; whole organism (formalin-fixed, 70% ethanol)",NA,34.906619,-106.685289,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, just north of Valencia County.",NA,"",1939,6,9,"Collector(s): William J. Koster, Lela R. Koster, P. Bretney","not recorded",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, Lela R. Koster, P. Bretney","2019-05-26 21:13:01.0","impact","1931-1940","impact_1931-1940",5
"16",167,"MSB","Fish specimens","MSB:Fish:1098",80,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.189406,-106.625396,2064,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Conservancy ditch, south of Alameda.",NA,"",1939,5,13,"Collector(s): William J. Koster, R. Troxel","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, R. Troxel","2019-05-26 21:13:06.0","impact","1931-1940","impact_1931-1940",5
"2",201,"MSB","Fish specimens","MSB:Fish:1082",278,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.100259,-106.692107,650,"North American Datum 1983","United States","New Mexico","Bernalillo County",NA,NA,"Palmer's Slough, east of Rio Grande Albuquerque NW Section, an area of remanant bosque and wetlands.",NA,"",1938,10,19,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:37:20.0","impact","1931-1940","impact_1931-1940",5
"7",65,"MSB","Fish specimens","MSB:Fish:1100",222,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.072363,-106.668064,3507,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"First ditch west of Rio Grande, Albuquerque.",NA,"",1939,2,26,"Collector(s): Robert Troxel","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:27:41.0","impact","1931-1940","impact_1931-1940",5
"6",64,"MSB","Fish specimens","MSB:Fish:1081",133,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.072363,-106.668064,3507,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"First ditch west of Rio Grande, Albuquerque.",NA,"",1939,3,17,"Collector(s): Robert Troxel","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:22:57.0","impact","1931-1940","impact_1931-1940",5
"8",155,"MSB","Fish specimens","MSB:Fish:1078",328,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.087167,-106.682164,160,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"First ditch west of Rio Grande at US HWY 66 or Central Avenue bridge, Albuquerque.",NA,"",1939,1,30,"Collector(s): Robert Troxel, R. T. Fincke","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Robert Troxel, R. Fincke","2019-05-26 21:18:26.0","impact","1931-1940","impact_1931-1940",5
"18",196,"MSB","Fish specimens","MSB:Fish:1079",60,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.096748,-106.692027,776,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, below a diversion dam, Albuquerque.",NA,"",1941,9,14,"Collector(s): William J. Koster, Frederick W. Worman, Earl Camp","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, Frederick W. Worman, Earl Camp","2019-05-26 22:01:55.0","impact","1941-1950","impact_1941-1950",5
"21",104,"MSB","Fish specimens","MSB:Fish:288",200,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.068939,-106.663683,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Drain at Five Points.",NA,"",1949,12,3,"Collector(s): William J. Koster, G. Atkinson","not recorded",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, G. Atkinson","2019-05-26 21:32:34.0","impact","1941-1950","impact_1941-1950",5
