"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","FishBarcode","Dissector","Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","psite_spp","psite_count"
"53","MSB:Fish:3996",1977,9,28,"MSB 3996-4","JAR11847F","BP","CW","08-12-2025",NA,38,31,519,"impact","impact_1971-1980",35.136341,-106.685742,"trem.meta",0
"54","MSB:Fish:3996",1977,9,28,"MSB 3996-3","JAR11855F","EO","CW","08-12-2025",NA,39,32,538,"impact","impact_1971-1980",35.136341,-106.685742,"trem.meta",0
"55","MSB:Fish:3996",1977,9,28,"MSB 3996-2","JAR11849F","BP","CW","08-12-2025",NA,37,31,524,"impact","impact_1971-1980",35.136341,-106.685742,"trem.meta",0
"56","MSB:Fish:3996",1977,9,28,"MSB 3996-1","JAR11852F","EO","JG","08-12-2025",NA,44,35,765,"impact","impact_1971-1980",35.136341,-106.685742,"trem.meta",0
"57","MSB:Fish:4031",1977,9,30,"MSB 4031-4","JAR11703F","EO","GC","07-29-2025",NA,40,32,550,"impact","impact_1971-1980",34.859396,-106.720148,"trem.meta",0
"58","MSB:Fish:4031",1977,9,30,"MSB 4031-5","JAR11707F","BP","JG","07-29-2025",NA,40,31,494,"impact","impact_1971-1980",34.859396,-106.720148,"trem.meta",0
"59","MSB:Fish:4031",1977,9,30,"MSB 4031-1","JAR11705F","EO","GC","07-29-2025",NA,39,31,531,"impact","impact_1971-1980",34.859396,-106.720148,"trem.meta",0
"60","MSB:Fish:4031",1977,9,30,"MSB 4031-2","JAR11706F","EO","GC","07-29-2025",NA,42,34,617,"impact","impact_1971-1980",34.859396,-106.720148,"trem.meta",0
"61","MSB:Fish:4031",1977,9,30,"MSB 4031-3","JAR11704F","BP","BP","07-29-2025",NA,46,37,987,"impact","impact_1971-1980",34.859396,-106.720148,"trem.meta",0
"62","MSB:Fish:4045",1977,5,12,"MSB 4045-4","JAR11639F","BP","GC","07-21-2025","F",49,39,1916,"impact","impact_1971-1980",34.864295,-106.72527,"trem.meta",0
"63","MSB:Fish:4045",1977,5,12,"MSB 4045-5","JAR11630F","EO","JG","07-21-2025","F",49,41,1667,"impact","impact_1971-1980",34.864295,-106.72527,"trem.meta",0
"64","MSB:Fish:4045",1977,5,12,"MSB 4045-3","JAR11636F","EO","BP","07-21-2025",NA,46,36,1210,"impact","impact_1971-1980",34.864295,-106.72527,"trem.meta",0
"65","MSB:Fish:4045",1977,5,12,"MSB 4045-2","JAR11633F","BP","JG","07-21-2025",NA,49,39,1415,"impact","impact_1971-1980",34.864295,-106.72527,"trem.meta",0
"66","MSB:Fish:4045",1977,5,12,"MSB 4045-1","JAR11631F","EO","GC","07-21-2025","F",53,44,2208,"impact","impact_1971-1980",34.864295,-106.72527,"trem.meta",0
"67","MSB:Fish:4075",1977,6,9,"MSB 4075-5","JAR11748F","EO","JG","07-31-2025","F",47,39,1239,"impact","impact_1971-1980",34.848054,-106.716649,"trem.meta",0
"68","MSB:Fish:4075",1977,6,9,"MSB 4075-4","JAR11723F","JG","JG","07-31-2025","F",46,38,1077,"impact","impact_1971-1980",34.848054,-106.716649,"trem.meta",0
"69","MSB:Fish:4075",1977,6,9,"MSB 4075-1","JAR11721F","EO","GC","07-31-2025",NA,50,41,1450,"impact","impact_1971-1980",34.848054,-106.716649,"trem.meta",0
"70","MSB:Fish:4075",1977,6,9,"MSB 4075-3","JAR11724F","EO","JG","07-31-2025","F",45,36,978,"impact","impact_1971-1980",34.848054,-106.716649,"trem.meta",0
"71","MSB:Fish:4075",1977,6,9,"MSB 4075-2","JAR11720F","JG","GC","07-31-2025",NA,52,43,1701,"impact","impact_1971-1980",34.848054,-106.716649,"trem.meta",0
"72","MSB:Fish:4101",1977,5,12,"MSB 4101-1","JAR11747F","EO","EO","07-31-2025",NA,51,43,1591,"impact","impact_1971-1980",34.857048,-106.719821,"trem.meta",0
"73","MSB:Fish:4101",1977,5,12,"MSB 4101-5","JAR11739F","EO","GC","07-31-2025",NA,42,43,757,"impact","impact_1971-1980",34.857048,-106.719821,"trem.meta",0
"74","MSB:Fish:4101",1977,5,12,"MSB 4101-3","JAR11745F","EO","EO","07-31-2025","F",43,35,804,"impact","impact_1971-1980",34.857048,-106.719821,"trem.meta",0
"75","MSB:Fish:4101",1977,5,12,"MSB 4101-2","JAR11744F","JG","GC","07-31-2025",NA,43,35,1041,"impact","impact_1971-1980",34.857048,-106.719821,"trem.meta",0
"76","MSB:Fish:4101",1977,5,12,"MSB 4101-4","JAR11742F","JG","CLW GC","07-31-2025",NA,45,36,967,"impact","impact_1971-1980",34.857048,-106.719821,"trem.meta",0
"77","MSB:Fish:4114",1977,5,13,"MSB 4114-1","JAR11756F","EO","EO","08-01-2025","F",52,42,1845,"impact","impact_1971-1980",34.905272,-106.685564,"trem.meta",0
"78","MSB:Fish:4114",1977,5,13,"MSB 4114-5","JAR11750F","EO","EO","08-01-2025",NA,47,38,1113,"impact","impact_1971-1980",34.905272,-106.685564,"trem.meta",0
"79","MSB:Fish:4114",1977,5,13,"MSB 4114-2","JAR11754F","JG","CLW","08-01-2025",NA,50,43,1512,"impact","impact_1971-1980",34.905272,-106.685564,"trem.meta",0
"80","MSB:Fish:4114",1977,5,13,"MSB 4114-4","JAR11751F","JG","JG","08-01-2025","F",47,40,1284,"impact","impact_1971-1980",34.905272,-106.685564,"trem.meta",0
"81","MSB:Fish:4114",1977,5,13,"MSB 4114-3","JAR11753F","EO","GC","08-01-2025",NA,51,43,1646,"impact","impact_1971-1980",34.905272,-106.685564,"trem.meta",0
"82","MSB:Fish:4157",1977,8,5,"MSB 4157-4","JAR11814F","EO","BP","08-07-2025",NA,52,42,1284,"impact","impact_1971-1980",34.905272,-106.685564,"trem.meta",0
"83","MSB:Fish:4157",1977,8,5,"MSB 4157-2","JAR11816F","JG","JG","08-07-2025","F",55,46,1521,"impact","impact_1971-1980",34.905272,-106.685564,"trem.meta",0
"84","MSB:Fish:4157",1977,8,5,"MSB 4157-5","JAR11811F","JG","JG","08-07-2025","F",50,43,1300,"impact","impact_1971-1980",34.905272,-106.685564,"trem.meta",0
"85","MSB:Fish:4157",1977,8,5,"MSB 4157-3","JAR11810F","EO","EO","08-07-2025",NA,52,43,1367,"impact","impact_1971-1980",34.905272,-106.685564,"trem.meta",0
"86","MSB:Fish:4157",1977,8,5,"MSB 4157-1","JAR11813F","EO","JG","08-07-2025",NA,61,52,2325,"impact","impact_1971-1980",34.905272,-106.685564,"trem.meta",0
"87","MSB:Fish:4174",1977,8,4,"MSB 4174-1","JAR11768F","BP","JG","08-01-2025",NA,32,26,277,"impact","impact_1971-1980",34.859396,-106.720148,"trem.meta",0
"88","MSB:Fish:4174",1977,8,4,"MSB 4174-5","JAR11759F","BP","EO","08-01-2025","F",36,29,468,"impact","impact_1971-1980",34.859396,-106.720148,"trem.meta",0
