"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","FishBarcode","Dissector","Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","trem.meta","crus.lercyp","trem.diphur","trem.n","mono.gyrsp","mono.unk","trem.white","trem.p","trem.neasp","trem.unk","trem.acet","trem.unclear","cest.larv","nem.cont","trem.cent","nem.cap","cest.b","trem.buc","nem.unk","nem.larv","myxo.myxsp","myxo.m","mono.dacsp"
"77","MSB:Fish:4114",1977,5,13,"MSB 4114-1","JAR11756F","EO","EO","08-01-2025","F",52,42,1845,"impact","impact_1971-1980",34.905272,-106.685564,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"78","MSB:Fish:4114",1977,5,13,"MSB 4114-5","JAR11750F","EO","EO","08-01-2025",NA,47,38,1113,"impact","impact_1971-1980",34.905272,-106.685564,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"79","MSB:Fish:4114",1977,5,13,"MSB 4114-2","JAR11754F","JG","CLW","08-01-2025",NA,50,43,1512,"impact","impact_1971-1980",34.905272,-106.685564,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"80","MSB:Fish:4114",1977,5,13,"MSB 4114-4","JAR11751F","JG","JG","08-01-2025","F",47,40,1284,"impact","impact_1971-1980",34.905272,-106.685564,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"81","MSB:Fish:4114",1977,5,13,"MSB 4114-3","JAR11753F","EO","GC","08-01-2025",NA,51,43,1646,"impact","impact_1971-1980",34.905272,-106.685564,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,2,0,0
"82","MSB:Fish:4157",1977,8,5,"MSB 4157-4","JAR11814F","EO","BP","08-07-2025",NA,52,42,1284,"impact","impact_1971-1980",34.905272,-106.685564,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"83","MSB:Fish:4157",1977,8,5,"MSB 4157-2","JAR11816F","JG","JG","08-07-2025","F",55,46,1521,"impact","impact_1971-1980",34.905272,-106.685564,0,0,7,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2
"84","MSB:Fish:4157",1977,8,5,"MSB 4157-5","JAR11811F","JG","JG","08-07-2025","F",50,43,1300,"impact","impact_1971-1980",34.905272,-106.685564,0,0,6,0,0,0,0,NA,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0
"85","MSB:Fish:4157",1977,8,5,"MSB 4157-3","JAR11810F","EO","EO","08-07-2025",NA,52,43,1367,"impact","impact_1971-1980",34.905272,-106.685564,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,2,0,0
"86","MSB:Fish:4157",1977,8,5,"MSB 4157-1","JAR11813F","EO","JG","08-07-2025",NA,61,52,2325,"impact","impact_1971-1980",34.905272,-106.685564,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,4
"87","MSB:Fish:4174",1977,8,4,"MSB 4174-1","JAR11768F","BP","JG","08-01-2025",NA,32,26,277,"impact","impact_1971-1980",34.859396,-106.720148,0,1,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"88","MSB:Fish:4174",1977,8,4,"MSB 4174-5","JAR11759F","BP","EO","08-01-2025","F",36,29,468,"impact","impact_1971-1980",34.859396,-106.720148,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2
"89","MSB:Fish:4174",1977,8,4,"MSB 4174-3","JAR11760F","BP","JG","08-01-2025",NA,40,32,646,"impact","impact_1971-1980",34.859396,-106.720148,0,0,9,0,0,0,0,NA,0,1,0,0,0,NA,0,0,0,0,0,0,60,0,0
"90","MSB:Fish:4174",1977,8,4,"MSB 4174-4","JAR11757F","EO","EO","08-01-2025","F",36,28,435,"impact","impact_1971-1980",34.859396,-106.720148,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2
"91","MSB:Fish:4174",1977,8,4,"MSB 4174-2","JAR11765F","BP","BP","08-01-2025","F",37,29,419,"impact","impact_1971-1980",34.859396,-106.720148,0,0,2,0,1,0,1,NA,0,0,1,0,0,NA,1,0,0,0,0,0,57,0,2
"92","MSB:Fish:43375",1999,8,25,"MSB 43375-4","JAR11727F","EO","GC","07-31-2025",NA,47,37,879,"impact","impact_1991-2000",35.089293,-106.680842,0,0,0,0,0,0,1,NA,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0
"93","MSB:Fish:43375",1999,8,25,"MSB 43375-3","JAR11736F","JG","JG","07-31-2025",NA,43,34,758,"impact","impact_1991-2000",35.089293,-106.680842,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"94","MSB:Fish:43375",1999,8,25,"MSB 43375-2","JAR11733F","EO","EO","07-31-2025",NA,45,36,861,"impact","impact_1991-2000",35.089293,-106.680842,0,0,7,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"95","MSB:Fish:43375",1999,8,25,"MSB 43375-1","JAR11735F","JG","GC","07-31-2025",NA,51,40,1203,"impact","impact_1991-2000",35.089293,-106.680842,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
