"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","FishBarcode","Dissector","Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","cope.imler","cope.lern","mono.dact","mono.gyro","myxo.b","nem.cl","nem.unk","trem.b","trem.d","trem.diplo","trem.dlum","trem.em","trem.fim","trem.gold","trem.l","trem.meta.unk","trem.ridge"
"80","MSB:Fish:25023",1995,8,2,"MSB 25023-4","JAR8721F","EO","CW","06-25-2025",NA,37,29,524,"impact","impact_1991-2000",35.089293,-106.680842,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"81","MSB:Fish:30075",1996,4,10,"MSB 30075-4","JAR8775F","EO","GC","06-30-2025",NA,63,49,2305,"impact","impact_1991-2000",35.13539167,-106.6684167,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
"82","MSB:Fish:30075",1996,4,10,"MSB 30075-5","JAR8776","EO","EO KL ","06-30-2025",FALSE,68,54,3090,"impact","impact_1991-2000",35.13539167,-106.6684167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","MSB:Fish:30075",1996,4,10,"MSB 30075-3","JAR8774F","JG","GC","06-30-2025",NA,57,46,1641,"impact","impact_1991-2000",35.13539167,-106.6684167,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"84","MSB:Fish:30075",1996,4,10,"MSB 30075-1","JAR8777F","JG","KL","06-30-2025",FALSE,55,45,1416,"impact","impact_1991-2000",35.13539167,-106.6684167,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
"85","MSB:Fish:30075",1996,4,10,"MSB 30075-2","JAR8778F","EO","CW","06-30-2025",NA,70,57,3072,"impact","impact_1991-2000",35.13539167,-106.6684167,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"86","MSB:Fish:30282",1996,5,16,"MSB 30282-2","JAR8653F","EO","CW","06-23-2025",NA,64,50,2621,"control","control_1991-2000",35.322164,-106.557448,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0
"87","MSB:Fish:30282",1996,5,16,"MSB 20282-5","JAR8655F","JG","CLW","06-23-2025",NA,72,59,3808,"control","control_1991-2000",35.322164,-106.557448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","MSB:Fish:30282",1996,5,16,"MSB 30282-1","JAR8654F","JG","CLW","06-23-2025",NA,58,49,2054,"control","control_1991-2000",35.322164,-106.557448,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"89","MSB:Fish:30282",1996,5,16,"MSB 30282-3","JAR8656F","EO","KL","06-23-2025",NA,71,56,3863,"control","control_1991-2000",35.322164,-106.557448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
