"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","FishBarcode","Dissector","Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","crus.d","crus.lersp","mono.gyrof","mono.salsp","mono.ss","trem.dips","trem.iz","trem.unk","nem.larv","nem.l","nem.myst","acanth.spk","cest.botsp","myxo.myxid","myxo.g"
"82","MSB:Fish:11194",1992,7,24,"MSB 11194-3","JAR11569F","EO","GC","07-17-2025",NA,28,22,159,"impact","impact_1991-2000",34.92872222,-106.6818611,0,0,0,4,0,0,0,0,0,0,0,0,0,"0",0
"83","MSB:Fish:11194",1992,7,24,"MSB 11194-5","JAR11572F","EO","KL","07-17-2025",NA,36,29,658,"impact","impact_1991-2000",34.92872222,-106.6818611,0,0,0,2,0,0,0,0,0,0,0,0,0,NA,0
"84","MSB:Fish:11194",1992,7,24,"MSB 11194-4","JAR11571F","EO","EO","07-17-2025","F",35,27,456,"impact","impact_1991-2000",34.92872222,-106.6818611,0,0,0,4,0,0,0,0,0,0,0,0,0,"0",0
"85","MSB:Fish:11194",1992,7,24,"MSB 11194-1","JAR11563F","EO","GC","07-17-2025","F",29,24,333,"impact","impact_1991-2000",34.92872222,-106.6818611,0,0,0,6,0,0,0,0,0,0,0,0,0,NA,0
"86","MSB:Fish:12010",1992,9,28,"MSB 12010-3","JAR11037F","KL","KL","07-28-2025","F",28,23,210,"control","control_1991-2000",35.211416,-106.612833,0,0,0,4,10,0,0,0,0,0,0,0,0,"0",0
"87","MSB:Fish:12010",1992,9,28,"MSB 12010-2","JAR11056F","KL","KL","07-28-2025",NA,27,21.5,211,"control","control_1991-2000",35.211416,-106.612833,0,0,0,12,0,0,0,0,0,0,0,0,0,NA,0
"88","MSB:Fish:12010",1992,9,28,"MSB 12010-1","JAR11057F","KL","KL","07-28-2025","F",36,29,446,"control","control_1991-2000",35.211416,-106.612833,0,0,0,20,4,0,0,0,0,0,0,0,0,"0",0
"89","MSB:Fish:12010",1992,9,28,"MSB 12010-5","JAR11045F","KL","KL","07-28-2025","F",25,20,156,"control","control_1991-2000",35.211416,-106.612833,0,0,0,6,6,0,0,0,0,0,0,0,0,NA,0
"90","MSB:Fish:12010",1992,9,28,"MSB 12010-4","JAR11044F","KL","KL","07-28-2025","F",28,21,210,"control","control_1991-2000",35.211416,-106.612833,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0
"91","MSB:Fish:12531",1992,11,13,"MSB 12531-1","JAR11267F","EO","GC","07-11-2025",NA,46,38,1030,"control","control_1991-2000",35.380486,-106.502059,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0
"92","MSB:Fish:12531",1992,11,13,"MSB 12531-4","JAR11265F","EO","KL","07-11-2025",NA,31,25,317,"control","control_1991-2000",35.380486,-106.502059,0,0,0,0,4,0,0,0,0,0,0,0,0,"0",0
"93","MSB:Fish:12531",1992,11,13,"MSB 12531-5","JAR11266F","EO","BP","07-11-2025","F",48,40,1190,"control","control_1991-2000",35.380486,-106.502059,0,0,0,0,8,16,0,0,0,0,0,0,0,"0",0
